#{"t_start": 1764260614.415021, "env_id": "PandaReach-v3"}
r,l,t
-3.0,4,83.958365
-2.0,3,83.964906
-50.0,50,84.071812
-6.0,7,84.087361
-50.0,50,84.197031
-9.0,10,84.218706
-2.0,3,84.225987
-50.0,50,84.336049
-3.0,4,84.34464
-2.0,3,84.351128
-50.0,50,84.459666
-3.0,4,84.469704
-9.0,10,84.502774
-7.0,8,84.52204
-25.0,26,84.575093
-50.0,50,84.6808
-3.0,4,84.689519
-10.0,11,84.712409
-4.0,5,84.722948
-50.0,50,84.826158
-50.0,50,84.930128
-50.0,50,85.040285
-3.0,4,85.04846
-2.0,3,85.055793
-3.0,4,85.064603
0.0,1,85.066947
-22.0,23,85.117898
-50.0,50,85.230433
-50.0,50,86.276643
-4.0,5,86.287407
-50.0,50,86.397511
-50.0,50,86.504872
-5.0,6,86.517364
-5.0,6,86.530532
-50.0,50,86.636716
-3.0,4,86.645665
-5.0,6,86.658726
-50.0,50,86.766729
-4.0,5,86.777652
-5.0,6,86.790961
-2.0,3,86.797518
-50.0,50,86.911495
-2.0,3,86.918442
-6.0,7,86.93388
-50.0,50,87.040093
-50.0,50,87.148224
-50.0,50,87.257753
-7.0,8,87.274167
-2.0,3,87.280754
-50.0,50,87.391662
-6.0,7,87.407241
-3.0,4,87.415922
-14.0,15,87.449103
-50.0,50,87.565552
-1.0,2,87.569831
-1.0,2,87.574104
-50.0,50,87.678444
-3.0,4,87.686741
-50.0,50,87.80413
-50.0,50,87.909739
-5.0,6,87.921983
-30.0,31,87.987092
-6.0,7,88.00141
-11.0,12,88.025969
-50.0,50,88.129673
-12.0,13,88.157437
-34.0,35,88.232216
-4.0,5,88.242156
-8.0,9,88.260463
-50.0,50,88.365845
-4.0,5,88.376299
-1.0,2,88.380347
-4.0,5,88.390979
-5.0,6,88.404181
-50.0,50,88.514888
-5.0,6,88.527568
-5.0,6,88.540735
0.0,1,88.542942
-50.0,50,88.647894
-6.0,7,88.663017
-50.0,50,88.765817
0.0,1,88.768026
0.0,1,88.770332
-5.0,6,88.782498
-3.0,4,88.790815
-8.0,9,88.809697
-2.0,3,88.816239
-50.0,50,88.922588
-4.0,5,88.934065
-50.0,50,89.042199
-50.0,50,89.145869
-50.0,50,89.248177
-6.0,7,89.26368
-4.0,5,89.27378
-12.0,13,89.302554
-50.0,50,89.403213
-50.0,50,89.508854
-4.0,5,89.519749
-4.0,5,89.531172
-50.0,50,89.637112
-2.0,3,89.643783
-50.0,50,89.750368
-13.0,14,89.778987
-2.0,3,89.785419
-5.0,6,89.798038
-50.0,50,89.902334
-50.0,50,90.007843
-3.0,4,90.016598
-16.0,17,90.053197
-2.0,3,90.059569
-50.0,50,90.164944
-4.0,5,90.174695
-6.0,7,90.188451
-50.0,50,90.293632
-50.0,50,90.398273
-1.0,2,90.402533
-5.0,6,90.415169
-3.0,4,90.423655
-50.0,50,90.529446
-50.0,50,90.629922
-1.0,2,91.504588
-15.0,16,91.54157
-50.0,50,91.646163
-2.0,3,91.652166
-2.0,3,91.658466
-27.0,28,91.71957
-2.0,3,91.725922
-14.0,15,91.760305
-1.0,2,91.764445
-2.0,3,91.77081
-3.0,4,91.779345
-2.0,3,91.785352
-50.0,50,91.893183
-11.0,12,92.114242
0.0,1,92.116355
-2.0,3,92.122441
-3.0,4,92.13146
-50.0,50,92.235358
-2.0,3,92.24151
-50.0,50,92.342983
-11.0,12,92.368153
-50.0,50,92.474032
-8.0,9,92.493094
-50.0,50,92.601237
-6.0,7,92.616026
-8.0,9,92.634418
-3.0,4,92.642811
-4.0,5,92.653163
-50.0,50,92.756874
-1.0,2,92.761751
-50.0,50,92.871283
-1.0,2,92.875413
-4.0,5,92.885148
-3.0,4,92.893028
-3.0,4,92.901428
-4.0,5,92.911428
-2.0,3,92.917579
-6.0,7,92.932419
-6.0,7,92.947224
-24.0,25,93.003284
0.0,1,93.005574
-2.0,3,93.012606
-3.0,4,93.021332
-39.0,40,93.110122
-50.0,50,93.215423
-5.0,6,93.228301
-8.0,9,93.246779
-6.0,7,93.261524
-3.0,4,93.269855
-3.0,4,93.27859
-2.0,3,93.28477
-50.0,50,93.386195
-50.0,50,93.490596
-4.0,5,93.50062
-50.0,50,93.603847
-1.0,2,93.608305
-3.0,4,93.61684
-50.0,50,93.724442
-50.0,50,93.82805
-6.0,7,93.843044
-7.0,8,93.860293
-50.0,50,93.963116
-1.0,2,93.96755
-7.0,8,93.984651
-8.0,9,94.003809
-50.0,50,94.109027
-50.0,50,94.220947
-4.0,5,94.231485
-3.0,4,94.239827
-22.0,23,94.288581
-50.0,50,94.396365
-5.0,6,94.408827
-2.0,3,94.415489
-50.0,50,94.517418
0.0,1,94.519726
-1.0,2,94.523567
-5.0,6,94.536322
-6.0,7,94.551031
-8.0,9,94.570664
-50.0,50,94.677671
-50.0,50,94.780502
-50.0,50,94.88382
-50.0,50,94.985137
-3.0,4,94.993117
-11.0,12,95.018677
-50.0,50,95.12456
-7.0,8,95.141601
-3.0,4,95.150043
-4.0,5,95.160966
-4.0,5,95.171641
-50.0,50,95.276249
-11.0,12,95.302597
-50.0,50,95.40524
-50.0,50,95.513338
-4.0,5,95.524112
-5.0,6,95.536968
-1.0,2,95.541838
-50.0,50,95.650099
-5.0,6,95.662822
-3.0,4,95.671307
-50.0,50,95.779608
-50.0,50,95.885505
-3.0,4,95.894273
-50.0,50,96.001069
-50.0,50,96.980369
-8.0,9,96.998599
-50.0,50,97.117383
-3.0,4,97.125885
-4.0,5,97.136606
-1.0,2,97.14094
-4.0,5,97.151545
-2.0,3,97.157617
-4.0,5,97.168819
-50.0,50,97.27389
-50.0,50,97.379076
-6.0,7,97.393403
-50.0,50,97.498323
-1.0,2,97.502774
-4.0,5,97.513675
-2.0,3,97.520347
-1.0,2,97.524395
-2.0,3,97.530578
-6.0,7,97.544852
-5.0,6,97.557108
-9.0,10,97.577183
-9.0,10,97.597677
-3.0,4,97.606505
-5.0,6,97.619144
-2.0,3,97.625922
-50.0,50,97.731314
-3.0,4,97.740052
-2.0,3,97.746682
-7.0,8,97.763534
-5.0,6,97.776334
-32.0,33,97.846715
-50.0,50,97.951681
-23.0,24,98.004027
-5.0,6,98.016816
-50.0,50,98.123768
-9.0,10,98.146212
-2.0,3,98.152426
-3.0,4,98.160766
-5.0,6,98.173482
-21.0,22,98.219979
-3.0,4,98.22841
0.0,1,98.230406
-13.0,14,98.258565
-3.0,4,98.266801
-2.0,3,98.273147
-4.0,5,98.283419
-5.0,6,98.295597
-4.0,5,98.306142
-5.0,6,98.318712
-5.0,6,98.331163
-3.0,4,98.340178
-50.0,50,98.441877
-50.0,50,98.548524
-7.0,8,98.564917
-50.0,50,98.671022
-9.0,10,98.693182
-50.0,50,98.798979
-3.0,4,98.809145
-50.0,50,98.915125
-3.0,4,98.923565
-5.0,6,98.936487
-18.0,19,98.976848
-12.0,13,99.005359
-6.0,7,99.020682
-1.0,2,99.025365
-10.0,11,99.049155
-17.0,18,99.086418
-8.0,9,99.105862
-4.0,5,99.116364
-50.0,50,99.22397
-14.0,15,99.254697
-7.0,8,99.272372
-3.0,4,99.281282
-1.0,2,99.285732
-10.0,11,99.30993
-3.0,4,99.318954
-8.0,9,99.338311
-50.0,50,99.440005
-4.0,5,99.4505
-18.0,19,99.492443
-4.0,5,99.502958
-4.0,5,99.513607
